Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5CbKgQZ99p5pBsqyCScLMS,"Vulva Diva","Gratidaoh","Wealstarcks",2021-02-11,152347,39,false,ben.doan4366,2025-03-17T15:45:05Z,"","Wealstarcks",0.649,0.815,6,-5.545,0,0.167,0.475,0.000543,0.0965,0.734,115.039,4
spotify:track:7eUalfb6XYFlpM8LvHmsJD,"Veneno","Veneno","SOFI TUKKER;Mari Merenda;Sophia Ardessore",2023-11-10,143253,49,false,ben.doan4366,2025-03-17T17:27:27Z,"","SOFI TUKKER LLC",0.699,0.883,6,-4.991,0,0.0707,0.137,0.0181,0.279,0.511,120.038,4
spotify:track:5DciFsiNVoJ99hMebszKA7,"Deixa Eu Dizer","VALEU e OBRIGADO","Wealstarcks",2023-02-02,170181,39,false,ben.doan4366,2025-03-21T14:25:03Z,"","Wealstarcks",0.745,0.713,10,-8.169,0,0.166,0.344,0.592,0.301,0.56,110.048,4
spotify:track:2B67hW6XshoWOIpHjDeVVI,"São Paulo","São Paulo","Tropkillaz;Deekapz",2023-01-25,164457,22,false,ben.doan4366,2025-03-25T11:52:31Z,"brazilian funk,brazilian pop","Virgin Music Label And Artist Services (S&D)",0.786,0.739,10,-8.073,0,0.0522,0.0889,0.624,0.248,0.473,112.932,4
spotify:track:0GJwUAlBMJTbY4VE7iE761,"UNA NOCHE EN MEDELLÍN - REMIX","MAÑANA SERÁ BONITO (BICHOTA SEASON)","KAROL G;Cris MJ;Ryan Castro",2023-08-10,205144,78,true,ben.doan4366,2025-03-28T11:31:57Z,"reggaeton,latin,urbano latino,reggaeton chileno,chilean trap,chilean mambo","Bichota/Interscope Records",0.846,0.755,10,-2.47,0,0.0738,0.0361,0,0.0448,0.883,96.002,4
spotify:track:4WZAdPyIt0es0vXUmNzGiW,"Afrofuturista","Afrofuturista","Carlos do Complexo",2019-04-15,124000,31,false,ben.doan4366,2025-05-20T11:17:13Z,"","RUN",0.8,0.596,6,-9.379,1,0.158,0.114,0.845,0.2,0.645,119.963,4
spotify:track:0WE8YTl6GAVHnkfvMfci98,"Drinkee","Drinkee","SOFI TUKKER",2015-10-02,297507,50,false,ben.doan4366,2025-08-11T12:11:54Z,"","Sofi Tukker, LLC",0.773,0.661,2,-8.101,1,0.0497,0.0557,0.616,0.229,0.322,115.003,4
spotify:track:5Ohh8csVsOnG7CnDrd2E5W,"Purple Hat","Purple Hat","SOFI TUKKER",2019-09-06,178369,66,false,ben.doan4366,2025-08-11T23:52:21Z,"","SOFI TUKKER LLC",0.777,0.744,9,-7.42,1,0.205,0.335,0.00743,0.088,0.654,94.023,4
spotify:track:1bcZHf64xOalMif12Fy7jc,"Pick Up The Phone","Pick Up The Phone","SOFI TUKKER;Nonô",2025-06-04,211510,63,false,ben.doan4366,2025-08-11T23:52:21Z,"","Animal Talk Records",0.798,0.813,6,-6.519,0,0.0386,0.00232,0.471,0.0852,0.761,127.014,4
spotify:track:56l2F6gs6CDYP3b2jDsYGL,"Intensity","butter","SOFI TUKKER;Liniker",2025-05-16,194517,47,false,ben.doan4366,2025-08-13T02:38:18Z,"new mpb,mpb,brazilian pop","SOFI TUKKER LLC",0.775,0.706,11,-6.63,0,0.0579,0.518,0.0000609,0.0922,0.627,115.014,4
spotify:track:5SZo3Grs3fmbPsHZzlLB6E,"Belong in the Sun","¿Téo?","¿Téo?;Lido",2018-09-13,194000,60,false,ben.doan4366,2025-08-13T02:39:10Z,"","49 Digits LLC",0.781,0.7,5,-9.454,0,0.0681,0.357,0.0792,0.12,0.661,96.979,4
